Airline,IOSA_1,IOSA_2,EU,Fatality,FAA,ICAO_1,ICAO_2,Rating
TAP Portugal,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Tara Air,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Tarom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Tassili Airlines,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Thai Airways International,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0
Thai Lion Air,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0
Thai Smile,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0
Thomas Cook Airlines (UK),1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Thomson Airways,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Tianjin Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Tibet Airlines,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Tigerair Australia,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0
Tigerair Singapore,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Titan Airways,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Trans Maldivian Airways (TMA),0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
TransAsia Airways,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0
Transavia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
TransNusa,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
Trigana Air,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Tropic Air,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0
TUIfly Germany,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
TUIfly Netherlands,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Tunisair,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Turkish Airlines,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0
Turkmenistan Airlines,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
Ukraine International,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
United Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Ural Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
UTair,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0
Uzbekistan Airways,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Vanilla Air,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Venezolana,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Vieques Air Link,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
VietJet Air,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Vietnam Airlines,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Virgin America,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Virgin Atlantic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Virgin Australia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Virgin Australia Regional,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Viva Aerobus,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Volaris,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Volotea,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Vueling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Wasaya Airways,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
WestJet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Wideroe,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Wings Air,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
Wizz,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
WOW Air,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Xiamen Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
XL Airways France,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Xpress Air,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
Yakutia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Yangon Airways,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
Yemenia,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0
Yeti Airlines,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
